hwd;pronSampa;ipa
follicle(2);f A l i k @ l;fɑlikəl
hmmm;h m;hm
romagnoli;r\ @U m A g n @U l i:;ɹoʊmɑgnoʊliː
flaugher;f l O: 3:r;flOːɜ:r
nungesser;n V N g i s 3:r;nʌŋgisɜ:r
peres';p E r\ E z;pɛɹɛz
nield;n i: l d;niːld
impugn;i m p j u n;impjun
skillin;s k I l i n;skɪlin
wrona;r\ @U n @;ɹoʊnə
derrickson;d E r\ i k s @ n;dɛɹiksən
preempt;p r\ i: E m p t;pɹiːɛmpt
contemplated;k A n t @ m p l eI 4 i d;kɑntəmpl?ɾid
bernheim;b 3:r n h aI m;bɜ:rnh?m
intoned;i n t @U n d;intoʊnd
salutatorian;s @ l u 4 @ t O: r\ i: @ n;səluɾətOːɹiːən
wadlington;w A d l i N t @ n;wɑdliŋtən
modules;m A dZ u l z;mɑ?ulz
unbeknown;V n b i n @U n;ʌnbinoʊn
waffled;w A f @ l d;wɑfəld
carmon;k A r\ m @ n;kɑɹmən
mccarney;m @ k A r\ n i:;məkɑɹniː
enslin;E n s l i n;ɛnslin
batterymarch;b @ t E r\ i: m A r\ tS;bətɛɹiːmɑɹ?
dobrzynski;d @U b r\ @ Z I n s k i:;doʊbɹəʒɪnskiː
surrebuttal(2);s 3:r i: b @ 4 @ l;sɜ:riːbəɾəl
density;d E n s @ 4 i:;dɛnsəɾiː
morss;m O: r\ s;mOːɹs
rupture;r\ V p tS 3:r;ɹʌp?ɜ:r
ruecker;r\ u k 3:r;ɹukɜ:r
edelman's(2);eI 4 @ l m @ n z;?ɾəlmənz
democracies;d i m A k r\ @ s i: z;dimɑkɹəsiːz
chromium;k r\ @U m i: @ m;kɹoʊmiːəm
repealed;r\ i p i: l d;ɹipiːld
waltham;w O: l T @ m;wOːlθəm
sandhogs;s { n d h O: g z;sændhOːgz
trautwein;t r\ aU t w aI n;tɹ?tw?n
landgren;l { n d g r\ E n;lændgɹɛn
rakolta;r\ @ k A l t @;ɹəkɑltə
sheepish;S i: p i S;ʃiːpiʃ
alafi;@ l A f i:;əlɑfiː
equated;i k w eI 4 i d;ikw?ɾid
snickers;s n I k 3:r z;snɪkɜ:rz
fujimori's;f u dZ i: m O: r\ i: z;fu?iːmOːɹiːz
sano;s A n @U;sɑnoʊ
windshields;w I n d S i: l d z;wɪndʃiːldz
boissonneault;b w A s @ n @U;bwɑsənoʊ
demarzo;d i m A r\ z @U;dimɑɹzoʊ
schrader;S r\ eI 4 3:r;ʃɹ?ɾɜ:r
crouser;k r\ aU s 3:r;kɹ?sɜ:r
airlie;E r\ l i:;ɛɹliː
oughta;O: 4 @;Oːɾə
jesuits;dZ E Z u i t s;?ɛʒuits
zito;z i: 4 @U;ziːɾoʊ
tense;t E n s;tɛns
barbato;b A r\ b A 4 @U;bɑɹbɑɾoʊ
banesto;b @ n E s t @U;bənɛstoʊ
bacha;b { tS @;bæ?ə
reauthorization;r\ i: O: T 3:r i z eI S @ n;ɹiːOːθɜ:riz?ʃən
fizzling(2);f I z l i N;fɪzliŋ
mckissack;m @ k I s @ k;məkɪsək
pointed(2);p OI n @ d;p?nəd
polarography;p @U l 3:r A g r\ @ f i:;poʊlɜ:rɑgɹəfiː
fischer's;f I S 3:r z;fɪʃɜ:rz
deitch;d aI tS;d??
ravaging;r\ { v i dZ i N;ɹævi?iŋ
buchta;b V tS t @;bʌ?tə
vermeer;v 3:r m i r\;vɜ:rmiɹ
korns;k O: n z;kOːnz
fedeli;f E d E l i:;fɛdɛliː
jantzen;dZ { n t z @ n;?æntzən
walters';w O: l t 3:r z;wOːltɜ:rz
lafata;l A f A 4 @;lɑfɑɾə
mongan;m A N g @ n;mɑŋgən
antuna;A n t u n @;ɑntunə
megace;m i: g @ s;miːgəs
beretta;b 3:r E 4 @;bɜ:rɛɾə
juhasz;j V h @ S;jʌhəʃ
hannula;h { n u l @;hænulə
limbaugh's;l I m b O: z;lɪmbOːz
somebody's(2);s V m b @ 4 i:;sʌmbəɾiː
shafts;S { f t s;ʃæfts
meridians;m 3:r I 4 i: @ n z;mɜ:rɪɾiːənz
delashmutt;d E l @ S m @ t;dɛləʃmət
frankiewicz;f r\ { n k @ v i tS;fɹænkəvi?
shameless;S eI m l @ s;ʃ?mləs
everetts(2);E v r\ @ t s;ɛvɹəts
vajda;v aI 4 @;v?ɾə
rohde(2);r\ @U 4 @;ɹoʊɾə
brotman;b r\ A t m @ n;bɹɑtmən
casbah;k { s b @;kæsbə
bracher's;b r\ { k 3:r z;bɹækɜ:rz
scarbrough;s k A r\ b r\ aU;skɑɹbɹ?
fluorspar;f l U r\ s p A r\;flʊɹspɑɹ
crowding;k r\ aU 4 i N;kɹ?ɾiŋ
brousset;b r\ u s E t;bɹusɛt
abandonment;@ b { n d @ n m @ n t;əbændənmənt
marcin;m A r\ s i: n;mɑɹsiːn
petroski(2);p i t r\ A s k i:;pitɹɑskiː
intrieri;i n t r\ I r\ i:;intɹɪɹiː
nolette;n @U l E t;noʊlɛt
gribble;g r\ I b @ l;gɹɪbəl
gypsy;dZ I p s i:;?ɪpsiː
hauptfuhrer;h aU p t f j U r\ 3:r;h?ptfjʊɹɜ:r
zuck;z V k;zʌk
gladhill;g l { d h I l;glædhɪl
elbertine;E l b 3:r t i: n;ɛlbɜ:rtiːn
mehall;m @ h O: l;məhOːl
rheem;r\ i: m;ɹiːm
fullen;f U l @ n;fʊlən
oxidyne;A k s i d aI n;ɑksid?n
recycler;r\ i: s aI k l 3:r;ɹiːs?klɜ:r
goodstein;g U d s t aI n;gʊdst?n
selover;s E l @ v 3:r;sɛləvɜ:r
goheen;g @ h i: n;gəhiːn
benzie;b E n z i:;bɛnziː
nasdaq;n { z d { k;næzdæk
disinclination;d i s i n k l @ n eI S @ n;disinklən?ʃən
ions(2);aI A n z;?ɑnz
azarow;{ z 3:r @U;æzɜ:roʊ
bellowed;b E l @U d;bɛloʊd
tempted;t E m p t @ d;tɛmptəd
berliners(2);b 3:r l aI n 3:r z;bɜ:rl?nɜ:rz
mottle;m A 4 @ l;mɑɾəl
marlon;m A r\ l @ n;mɑɹlən
luscombe;l u s k @U m b i:;luskoʊmbiː
manzer;m { n z 3:r;mænzɜ:r
exploit;E k s p l OI t;ɛkspl?t
strangulations;s t r\ { N g j @ l eI S @ n z;stɹæŋgjəl?ʃənz
screeners;s k r\ i: n 3:r z;skɹiːnɜ:rz
houseful;h aU s f @ l;h?sfəl
hackmatack;h { k m @ t { k;hækmətæk
cockeyed;k A k aI d;kɑk?d
tags;t { g z;tægz
journeyman's;dZ 3:r n i: m @ n z;?ɜ:rniːmənz
glengarry;g l E n g E r\ i:;glɛngɛɹiː
distortion;d i s t O: r\ S @ n;distOːɹʃən
amerson;{ m 3:r s @ n;æmɜ:rsən
sprucing;s p r\ u s i N;spɹusiŋ
day's;d eI z;d?z
kuna;k j u n @;kjunə
abusive;@ b j u s i v;əbjusiv
enter;E n t 3:r;ɛntɜ:r
umland;V m l @ n d;ʌmlənd
irascible;i r\ { s i b @ l;iɹæsibəl
bellotti;b E l @U 4 i:;bɛloʊɾiː
stabler;s t eI b @ l 3:r;st?bəlɜ:r
coil;k OI l;k?l
paris's;p E r\ i s i z;pɛɹisiz
handcuffs;h { n d k V f s;hændkʌfs
andrich;{ n d r\ i k;ændɹik
schlobohm;S l A b @U m;ʃlɑboʊm
resignee;r\ E z i g n i:;ɹɛzigniː
levine;l @ v i: n;ləviːn
margaritas;m A r\ g E r\ i: 4 @ s;mɑɹgɛɹiːɾəs
tillman;t I l m @ n;tɪlmən
castrillon;k @ s t r\ I l j @ n;kəstɹɪljən
originations;3:r I dZ @ n eI S @ n z;ɜ:rɪ?ən?ʃənz
buerkle;b j u r\ k @ l;bjuɹkəl
sitzmann;s I t s m @ n;sɪtsmən
darker;d A r\ k 3:r;dɑɹkɜ:r
ching;tS I N;?ɪŋ
davidson's;d eI v i d s @ n z;d?vidsənz
nut;n V t;nʌt
kissinger;k I s i n dZ 3:r;kɪsin?ɜ:r
argon;A r\ g A n;ɑɹgɑn
hamburgers;h { m b 3:r g 3:r z;hæmbɜ:rgɜ:rz
fundraising;f V n d r\ eI s i N;fʌndɹ?siŋ
chat;tS { t;?æt
yaney;j eI n i:;j?niː
ethelson;E T i l s i n;ɛθilsin
moths;m O: T s;mOːθs
attest;@ t E s t;ətɛst
durakon;d U r\ @ k i n;dʊɹəkin
allure;@ l U r\;əlʊɹ
clune;k l u n;klun
ayes;aI z;?z
racists(3);r\ eI s i s;ɹ?sis
expectancies;i k s p E k t @ n s i: z;ikspɛktənsiːz
abstentions;@ b s t E n tS @ n z;əbstɛn?ənz
perceptions;p 3:r s E p S @ n z;pɜ:rsɛpʃənz
analysts(2);{ n @ l i s t s;ænəlists
infanticide;i n f { n t @ s aI d;infæntəs?d
ora;O: r\ @;Oːɹə
staple;s t eI p @ l;st?pəl
boettger;b @U t g 3:r;boʊtgɜ:r
megahouses;m E g @ h aU s i z;mɛgəh?siz
stogsdill;s t A g z d i l;stɑgzdil
szczesniak;S E z n i: { k;ʃɛzniːæk
eickmeyer;aI k m aI 3:r;?km?ɜ:r
auger;O: g 3:r;Oːgɜ:r
bendickson;b E n d i k s @ n;bɛndiksən
gawkers;g A k 3:r z;gɑkɜ:rz
tannhauser;t { n h aU z 3:r;tænh?zɜ:r
cranmore;k r\ A n m O: r\;kɹɑnmOːɹ
holik;h @U l i k;hoʊlik
bellavance;b E l A v @ n s;bɛlɑvəns
euromarkets;j u r\ @U m A r\ k i t s;juɹoʊmɑɹkits
givenness;g I v @ n @ s;gɪvənəs
neurosurgery;n U r\ @U s 3:r dZ 3:r i:;nʊɹoʊsɜ:r?ɜ:riː
chronometer;k r\ A n A m i 4 3:r;kɹɑnɑmiɾɜ:r
selders;s E l d 3:r z;sɛldɜ:rz
multnomah;m V l n @U m @;mʌlnoʊmə
adriance;A d r\ i: @ n s;ɑdɹiːəns
vienot;v i: n A t;viːnɑt
amphibole(2);{ m f i b @U l;æmfiboʊl
classes;k l { s @ z;klæsəz
pauses(2);p O: z i z;pOːziz
erosive;i r\ @U s i v;iɹoʊsiv
ede;i: d;iːd
taller;t O: l 3:r;tOːlɜ:r
raggio;r\ A dZ i: @U;ɹɑ?iːoʊ
marinaccio;m A r\ i n A tS i: @U;mɑɹinɑ?iːoʊ
dey;d eI;d?
granese;g r\ { n i: z;gɹæniːz
hessler;h E s l 3:r;hɛslɜ:r
madagascar;m { 4 @ g { s k 3:r;mæɾəgæskɜ:r
stylists(2);s t aI l i s s;st?liss
melero;m eI l E r\ @U;m?lɛɹoʊ
chatihachi's;tS { 4 i h A tS i: z;?æɾihɑ?iːz
chucked;tS V k t;?ʌkt
affectionate(2);@ f E k S @ n i t;əfɛkʃənit
winds(2);w aI n d z;w?ndz
hebeler;h E b @ l 3:r;hɛbəlɜ:r
loges;l @U dZ i z;loʊ?iz
gandy;g { n d i:;gændiː
amex's;{ m E k s i z;æmɛksiz
legislating;l E dZ i s l eI 4 i N;lɛ?isl?ɾiŋ
thanking;T { N k i N;θæŋkiŋ
enhancing;E n h { n s i N;ɛnhænsiŋ
burnham's;b 3:r n @ m z;bɜ:rnəmz
gautreaux;g @U t r\ @U;goʊtɹoʊ
lieberman's;l i: b 3:r m @ n z;liːbɜ:rmənz
slushy;s l V S i:;slʌʃiː
gillers;g I l 3:r z;gɪlɜ:rz
littrell;l I t r\ @ l;lɪtɹəl
sheboygan;S @ b OI g @ n;ʃəb?gən
saki;s A k i:;sɑkiː
trafficking;t r\ { f i k i N;tɹæfikiŋ
aqaba;@ k A b @;əkɑbə
outlines;aU t l aI n z;?tl?nz
sinnett;s I n i t;sɪnit
cherny;tS 3:r n i:;?ɜ:rniː
burros;b 3:r @U z;bɜ:roʊz
vitalink;v aI 4 @ l I N k;v?ɾəlɪŋk
viscous;v I s k @ s;vɪskəs
mcdurman;m @ k d 3:r m @ n;məkdɜ:rmən
seelbach;s i: l b A k;siːlbɑk
langton;l { N t @ n;læŋtən
frostbite;f r\ O: s t b aI t;fɹOːstb?t
sensor;s E n s 3:r;sɛnsɜ:r
endorses;E n d O: r\ s i z;ɛndOːɹsiz
trovatore;t r\ @U v @ t O: r\;tɹoʊvətOːɹ
garlic;g A r\ l i k;gɑɹlik
hashers;h { S 3:r z;hæʃɜ:rz
alliteration;@ l I 4 3:r eI S @ n;əlɪɾɜ:r?ʃən
rubric;r\ u b r\ i k;ɹubɹik
redburn;r\ E d b 3:r n;ɹɛdbɜ:rn
pezzella;p E t s E l @;pɛtsɛlə
kandt;k { n t;kænt
koven;k @U v @ n;koʊvən
dambrosia;d A m b r\ @U s i: @;dɑmbɹoʊsiːə
banaszak;b @ n A S @ k;bənɑʃək
paraffin;p E r\ @ f @ n;pɛɹəfən
rikers;r\ aI k 3:r z;ɹ?kɜ:rz
colestipol;k @U l s t I p A l;koʊlstɪpɑl
tasseled;t { s @ l d;tæsəld
anderman;{ n d 3:r m @ n;ændɜ:rmən
conducted;k @ n d V k t @ d;kəndʌktəd
preordained;p r\ i: O: r\ d eI n d;pɹiːOːɹd?nd
absurdities;@ b s 3:r 4 @ 4 i: z;əbsɜ:rɾəɾiːz
sprunger;s p r\ V N 3:r;spɹʌŋɜ:r
achieves;@ tS i: v z;ə?iːvz
golds;g @U l d z;goʊldz
lou's;l u z;luz
chevrolet(2);S E v r\ @U l eI;ʃɛvɹoʊl?
seagate;s i: g eI t;siːg?t
breathed;b r\ i: D d;bɹiːðd
caccamo;k A k A m @U;kɑkɑmoʊ
mariotti;m A r\ i: @U 4 i:;mɑɹiːoʊɾiː
artists(2);A r\ 4 i s t s;ɑɹɾists
recruits(3);r\ i: k r\ u t s;ɹiːkɹuts
lowder;l @U 4 3:r;loʊɾɜ:r
bayers;b eI 3:r z;b?ɜ:rz
twyman;t w aI m @ n;tw?mən
aquarists(2);@ k w E r\ @ s s;əkwɛɹəss
agip;eI g i p;?gip
pilger;p I l g 3:r;pɪlgɜ:r
wavelengths;w eI v l E N T s;w?vlɛŋθs
evader;i v eI 4 3:r;iv?ɾɜ:r
martensen;m A r\ t i n s @ n;mɑɹtinsən
komer;k @U m 3:r;koʊmɜ:r
fipple;f I p @ l;fɪpəl
fireballs(2);f aI r\ b O: l z;f?ɹbOːlz
yochum;j A tS @ m;jɑ?əm
occasion;@ k eI Z @ n;ək?ʒən
tougas;t V g @ z;tʌgəz
mistresses(2);m I s t r\ @ s i z;mɪstɹəsiz
birchler;b 3:r k @ l 3:r;bɜ:rkəlɜ:r
injunction(2);i n dZ V N S @ n;in?ʌŋʃən
anatole;{ n @ t @U l;ænətoʊl
isoelectronic;aI s @U i l E k t r\ A n i k;?soʊilɛktɹɑnik
francklin;f r\ { N k l i n;fɹæŋklin
selvey;s E l v i:;sɛlviː
hogging;h O: g i N;hOːgiŋ
disposables;d i s p @U z @ b @ l z;dispoʊzəbəlz
kowalke;k A w O: k;kɑwOːk
engaging;E n g eI dZ i N;ɛng??iŋ
mord;m O: r\ d;mOːɹd
discoverable;d i s k V v 3:r @ b @ l;diskʌvɜ:rəbəl
semidry(2);s E m i d r\ aI;sɛmidɹ?
profession's;p r\ @ f E S @ n z;pɹəfɛʃənz
bergin;b 3:r g I n;bɜ:rgɪn
farmers;f A r\ m 3:r z;fɑɹmɜ:rz
phoning;f @U n i N;foʊniŋ
moraga;m O: r\ A g @;mOːɹɑgə
famiglietti;f @ m I g l i: E 4 i:;fəmɪgliːɛɾiː
repertoire;r\ E p 3:r t w A r\;ɹɛpɜ:rtwɑɹ
louderback;l aU 4 3:r b { k;l?ɾɜ:rbæk
lemp;l E m p;lɛmp
scuttlebutt;s k V 4 @ l b V t;skʌɾəlbʌt
mihn;m I n;mɪn
koper;k @U p 3:r;koʊpɜ:r
legare;l E g A r\ i:;lɛgɑɹiː
hypocrisy;h i p A k r\ @ s i:;hipɑkɹəsiː
sprenger;s p r\ E n dZ 3:r;spɹɛn?ɜ:r
hillsborough;h I l z b 3:r @U;hɪlzbɜ:roʊ
hillsman;h I l s m @ n;hɪlsmən
departmentalize(2);d i p A r\ t m E n @ l aI z;dipɑɹtmɛnəl?z
saga;s A g @;sɑgə
ashbaugh(2);{ S b O:;æʃbOː
felrice;f E l r\ aI s;fɛlɹ?s
sedlak;s E d l @ k;sɛdlək
lubricate;l u b r\ i k eI t;lubɹik?t
ozanich;@ z { n i h;əzænih
nicoli;n i: k @U l i:;niːkoʊliː
aerodynamics;E r\ @U d aI n { m i k s;ɛɹoʊd?næmiks
canam;k { n @ m;kænəm
phar;f A r\;fɑɹ
untrimmed;@ n t r\ I m d;əntɹɪmd
noreco;n O: r\ E k @U;nOːɹɛkoʊ
product's(2);p r\ A 4 @ k s;pɹɑɾəks
geerdes;g I r\ d z;gɪɹdz
imprudence;i m p r\ u d @ n s;impɹudəns
creeped;k r\ i: p t;kɹiːpt
sounder;s aU n d 3:r;s?ndɜ:r
mccaffery;m @ k { f r\ i:;məkæfɹiː
mannon;m { n @ n;mænən
erany;@ r\ eI n i:;əɹ?niː
caramel;k E r\ @ m @ l;kɛɹəməl
plotts;p l A t s;plɑts
avant-garde;@ v A n t g A r\ d;əvɑntgɑɹd
tibbets;t I b i t s;tɪbits
pampered;p { m p 3:r d;pæmpɜ:rd
mcclune;m @ k l u n;məklun
janitorial;dZ { n i t O: r\ i: @ l;?ænitOːɹiːəl
routh;r\ aU T;ɹ?θ
roil;r\ OI l;ɹ?l
blatchy;b l { tS i:;blæ?iː
glo;g l @U;gloʊ
wheeling(2);h w i: l i N;hwiːliŋ
ebron;E b r\ @ n;ɛbɹən
same;s eI m;s?m
booras;b U r\ @ z;bʊɹəz
pavel;p { v @ l;pævəl
bradberry;b r\ { d b E r\ i:;bɹædbɛɹiː
wigs;w I g z;wɪgz
grado;g r\ A 4 @U;gɹɑɾoʊ
pierre's;p i: E r\ z;piːɛɹz
pentagon's(2);p E n i g A n z;pɛnigɑnz
jordy;dZ O: r\ 4 i:;?Oːɹɾiː
recasting;r\ i: k { s t i N;ɹiːkæstiŋ
caricature;k E r\ @ k @ tS 3:r;kɛɹəkə?ɜ:r
infallible;i n f { l @ b @ l;infæləbəl
mcfalls;m @ k f O: l z;məkfOːlz
flashbulb;f l { S b @ l b;flæʃbəlb
zzzz(2);z z;zz
anode;{ n @U d;ænoʊd
mcburnett;m @ k b 3:r n @ t;məkbɜ:rnət
afrikaner;{ f r\ @ k A n 3:r;æfɹəkɑnɜ:r
olivas;@U l i: v A z;oʊliːvɑz
casad;k { s @ d;kæsəd
visa's;v i: z @ z;viːzəz
testing;t E s t i N;tɛstiŋ
chinese-englishman;tS aI n i: z I N g l i S m @ n;??niːzɪŋgliʃmən
cassette;k @ s E t;kəsɛt
hartsock;h A r\ t s @ k;hɑɹtsək
fredrick;f r\ E d r\ i k;fɹɛdɹik
mcmillen;m @ k m I l @ n;məkmɪlən
hooperman;h u p 3:r m @ n;hupɜ:rmən
canadienne;k @ n { 4 i: E n;kənæɾiːɛn
pointedly;p OI n t i d l i:;p?ntidliː
senft;s E n f t;sɛnft
ounces;aU n s @ z;?nsəz
charleston;tS A r\ l s t @ n;?ɑɹlstən
earlie;3:r l i:;ɜ:rliː
schmalz;S m O: l z;ʃmOːlz
dancers';d { n s 3:r z;dænsɜ:rz
mandalay;m { n d @ l eI;mændəl?
barbe;b A r\ b;bɑɹb
lit;l I t;lɪt
minsky;m I n s k i:;mɪnskiː
swing;s w I N;swɪŋ
association(2);@ s @U S i: eI S @ n;əsoʊʃiː?ʃən
sentimental;s E n t @ m E n t @ l;sɛntəmɛntəl
mangas;m { N g @ z;mæŋgəz
graumann;g r\ O: m @ n;gɹOːmən
aranyos;3:r A n j @U s;ɜ:rɑnjoʊs
turnham;t 3:r n h @ m;tɜ:rnhəm
samsonite;s { m s @ n aI t;sæmsən?t
bookstop;b U k s t A p;bʊkstɑp
tomasulo;t @U m A s u l @U;toʊmɑsuloʊ
smithkline's;s m I T k l aI n z;smɪθkl?nz
sweezy;s w i: z i:;swiːziː
mooradian;m U r\ eI 4 i: @ n;mʊɹ?ɾiːən
lebudde;l @ b V d;ləbʌd
empirical;E m p I r\ i k @ l;ɛmpɪɹikəl
fung's;f V N z;fʌŋz
recapture;r\ i: k { p tS 3:r;ɹiːkæp?ɜ:r
muellner;m j u l n 3:r;mjulnɜ:r
newscasts(3);n u z k { s;nuzkæs
enshrined;E n S r\ aI n d;ɛnʃɹ?nd
pomeranz;p A m 3:r { n s;pɑmɜ:ræns
methotrexate;m E T @U t r\ E k s eI t;mɛθoʊtɹɛks?t
fordham;f O: r\ 4 @ m;fOːɹɾəm
beckmeyer;b E k m aI 3:r;bɛkm?ɜ:r
enable(2);i n eI b @ l;in?bəl
rowse;r\ @U s;ɹoʊs
henkes;h E N k s;hɛŋks
villanova;v I l @ n @U v @;vɪlənoʊvə
unparalleled;@ n p E r\ @ l E l d;ənpɛɹəlɛld
munitions;m j u n I S @ n z;mjunɪʃənz
barbre;b A r\ b 3:r;bɑɹbɜ:r
poor;p U r\;pʊɹ
detore;d i t O: r\ i:;ditOːɹiː
rushford;r\ V S f 3:r d;ɹʌʃfɜ:rd
neil's;n i: l z;niːlz
dobberstein;d A b 3:r s t i: n;dɑbɜ:rstiːn
drapiez;d r\ eI p i: E z;dɹ?piːɛz
montenegro's;m A n t @ n eI g r\ @U z;mɑntən?gɹoʊz
ablaze;@ b l eI z;əbl?z
dudgeon;d V dZ @ n;dʌ?ən
ates;eI t s;?ts
dutil;d @ t I l;dətɪl
custody;k V s t @ 4 i:;kʌstəɾiː
celentano;tS E l E n t A n @U;?ɛlɛntɑnoʊ
confiscating;k A n f @ s k eI 4 i N;kɑnfəsk?ɾiŋ
humphed;h V m f t;hʌmft
factory's;f { k t 3:r i: z;fæktɜ:riːz
bookseller;b U k s E l 3:r;bʊksɛlɜ:r
mings;m I N z;mɪŋz
adlai;A d l A i:;ɑdlɑiː
eggenberger;E g @ n b 3:r g 3:r;ɛgənbɜ:rgɜ:r
punctuality;p V N k tS u { l i 4 i:;pʌŋk?uæliɾiː
orchard;O: r\ tS 3:r d;Oːɹ?ɜ:rd
halvorson;h { l v 3:r s @ n;hælvɜ:rsən
boyers;b OI 3:r z;b?ɜ:rz
beetles;b i: 4 @ l z;biːɾəlz
mau(2);m aU;m?
tombstones;t u m s t @U n z;tumstoʊnz
ardin;A r\ d i n;ɑɹdin
strahan;s t r\ { h @ n;stɹæhən
engagement;E n g eI dZ m @ n t;ɛng??mənt
confederacy;k @ n f E 4 3:r @ s i:;kənfɛɾɜ:rəsiː
mbeki(2);@ m b E k i:;əmbɛkiː
lamey;l eI m i:;l?miː
kilpatrick;k I l p { t r\ i k;kɪlpætɹik
improvement;i m p r\ u v m @ n t;impɹuvmənt
persecutions;p 3:r s @ k j u S @ n s;pɜ:rsəkjuʃəns
capron;k { p r\ @ n;kæpɹən
follett;f A l i t;fɑlit
gaige;g eI dZ;g??
cardone;k A r\ d @U n i:;kɑɹdoʊniː
petzinger;p E t s I N 3:r;pɛtsɪŋɜ:r
lanyard;l { n j 3:r d;lænjɜ:rd
uehling;U l i N;ʊliŋ
regrouping;r\ i: g r\ u p i N;ɹiːgɹupiŋ
stephen;s t i: v @ n;stiːvən
moderates;m A 4 3:r @ t s;mɑɾɜ:rəts
huntoon;h @ n t u n;həntun
simien;s I m i: n;sɪmiːn
tefra;t E f r\ @;tɛfɹə
poisoning;p OI z @ n i N;p?zəniŋ
nocturnal;n A k t 3:r n @ l;nɑktɜ:rnəl
lindgren;l I n d g r\ E n;lɪndgɹɛn
ludlam;l V d l @ m;lʌdləm
evildoers;i: v @ l d u 3:r z;iːvəlduɜ:rz
tinkerer;t I N k 3:r 3:r;tɪŋkɜ:rɜ:r
carolco;k 3:r A l k @U;kɜ:rɑlkoʊ
affordable;@ f O: r\ 4 @ b @ l;əfOːɹɾəbəl
prejudgment;p r\ i: dZ V dZ m @ n t;pɹiː?ʌ?mənt
asymmetrical;eI s @ m E t r\ i k @ l;?səmɛtɹikəl
greenwich's;g r\ E n i tS i z;gɹɛni?iz
stealing;s t i: l i N;stiːliŋ
piled;p aI l d;p?ld
overdraft;@U v 3:r d r\ { f t;oʊvɜ:rdɹæft
