hwd;pronSampa;ipa
ireson;I r\ i s @ n;ɪɹisən
apportionment;@ p O: r\ S @ n m @ n t;əpOːɹʃənmənt
bastards;b { s t 3:r d z;bæstɜ:rdz
antennas;{ n t E n @ z;æntɛnəz
lobby's;l A b i: z;lɑbiːz
affect;@ f E k t;əfɛkt
spegal;s p i: g @ l;spiːgəl
essen;E s @ n;ɛsən
sabiniana;s @ b i n i: A n @;səbiniːɑnə
outfoxed;aU t f A k s t;?tfɑkst
ozburn;A z b 3:r n;ɑzbɜ:rn
magnification;m { g n @ f @ k eI S @ n;mægnəfək?ʃən
foolery;f u l 3:r i:;fulɜ:riː
apcar;{ p k A r\;æpkɑɹ
whewell;w i: w E l;wiːwɛl
amplocore;{ m p l @ k O: r\;æmpləkOːɹ
obligates;A b l @ g eI t s;ɑbləg?ts
rocketry;r\ A k @ t r\ i:;ɹɑkətɹiː
cannibalism;k { n @ b @ l I z @ m;kænəbəlɪzəm
amoebic;@ m i: b i k;əmiːbik
tenure;t E n j 3:r;tɛnjɜ:r
alverson;A l v E r\ s @ n;ɑlvɛɹsən
zeebrugge;z i: b r\ u g i:;ziːbɹugiː
deatherage(2);d E T r\ i dZ;dɛθɹi?
kogyo;k @U dZ j @U;koʊ?joʊ
skewing;s k j u i N;skjuiŋ
sosin;s @U s I n;soʊsɪn
gallimore;g A l i: m O: r\;gɑliːmOːɹ
morrissey;m O: r\ i s i:;mOːɹisiː
smearing;s m I r\ i N;smɪɹiŋ
brandish;b r\ { n d i S;bɹændiʃ
proserpina;p r\ @U s 3:r p @ n @;pɹoʊsɜ:rpənə
ybanez;i b { n i z;ibæniz
vandenheuvel;v { n d @ n h OI v @ l;vændənh?vəl
ratty;r\ { 4 i:;ɹæɾiː
upsizing;V p s aI z i N;ʌps?ziŋ
almy;O: m i:;Oːmiː
lewman;l u m @ n;lumən
pacing;p eI s i N;p?siŋ
cadet;k @ d E t;kədɛt
canstar;k { n s t A r\;kænstɑɹ
deposit(2);d i p A z @ t;dipɑzət
sheepskin;S i: p s k I n;ʃiːpskɪn
chuba;tS u b @;?ubə
hagemeier;h { g i m aI 3:r;hægim?ɜ:r
reaffiliation;r\ i: @ f I l i: eI S @ n;ɹiːəfɪliː?ʃən
roberts';r\ A b 3:r t s;ɹɑbɜ:rts
schwarzkopf's;S w O: r\ t s k O: p f s;ʃwOːɹtskOːpfs
slagle;s l eI g @ l;sl?gəl
firm's;f 3:r m z;fɜ:rmz
frontier's;f r\ @ n t I r\ z;fɹəntɪɹz
wrangling;r\ { N g @ l i N;ɹæŋgəliŋ
urich;j 3:r i k;jɜ:rik
askance;@ s k { n s;əskæns
melodrama;m E l @ d r\ A m @;mɛlədɹɑmə
judgemental;dZ @ dZ m E n t @ l;?ə?mɛntəl
pounds;p aU n d z;p?ndz
barbequeing;b A r\ b i k j u i N;bɑɹbikjuiŋ
penikese;p E n i k i: z;pɛnikiːz
knott;n A t;nɑt
gallaway;g O: l @ w eI;gOːləw?
barabar;b E r\ @ b A r\;bɛɹəbɑɹ
talerico;t A l 3:r i: k @U;tɑlɜ:riːkoʊ
sprinkles;s p r\ I N k @ l z;spɹɪŋkəlz
leoma;l i @U m @;lioʊmə
sardonically(2);s A r\ d A n i k l i:;sɑɹdɑnikliː
phonetically;f @ n E 4 i k l i:;fənɛɾikliː
amusingly;@ m j u z i N l i:;əmjuziŋliː
americas;@ m E r\ @ k @ z;əmɛɹəkəz
ecevit;E s @ v i t;ɛsəvit
hagiwara;h A g i w A r\ @;hɑgiwɑɹə
scrimshaw;s k r\ I m S O:;skɹɪmʃOː
perfectionism;p 3:r f E k S @ n I z @ m;pɜ:rfɛkʃənɪzəm
crecelius;k r\ i s i: l i: i s;kɹisiːliːis
caremark's;k E r\ m A r\ k s;kɛɹmɑɹks
minimum;m I n @ m @ m;mɪnəməm
taxables;t { k s @ b @ l z;tæksəbəlz
haffez;h A f E z;hɑfɛz
nationsbanc(2);n eI S @ n z b A N k;n?ʃənzbɑŋk
emirate(2);E m 3:r eI t;ɛmɜ:r?t
mcmullin;m @ k m V l @ n;məkmʌlən
howeth;h aU i T;h?iθ
morgan's;m O: r\ g @ n z;mOːɹgənz
airs;E r\ z;ɛɹz
repercussions;r\ i: p 3:r k V S @ n z;ɹiːpɜ:rkʌʃənz
ratkovich;r\ A t k @ v i tS;ɹɑtkəvi?
diedrick;d i: d r\ i k;diːdɹik
westfed;w E s t f E d;wɛstfɛd
rasputin;r\ @ s p j u t i n;ɹəspjutin
overbooking;@U v 3:r b U k i N;oʊvɜ:rbʊkiŋ
hurricane;h 3:r @ k eI n;hɜ:rək?n
fetzer;f E t s 3:r;fɛtsɜ:r
dilaura;d i l O: r\ @;dilOːɹə
reits;r\ aI t s;ɹ?ts
door;d O: r\;dOːɹ
hellberg;h E l b 3:r g;hɛlbɜ:rg
mama;m A m @;mɑmə
garvey;g A r\ v i:;gɑɹviː
constitutionists;k A n s t @ t u S @ n i s t s;kɑnstətuʃənists
busk;b V s k;bʌsk
rachad;r\ @ S A d;ɹəʃɑd
dislocate;d I s l @U k eI t;dɪsloʊk?t
nonevent;n A n i v E n t;nɑnivɛnt
advil's;{ d v I l z;ædvɪlz
lawson's;l O: s @ n z;lOːsənz
kelley(2);@U k E l i:;oʊkɛliː
user's;j u z 3:r z;juzɜ:rz
impolite;i m p @ l aI t;impəl?t
bigoted;b I g @ 4 i d;bɪgəɾid
pygmy;p I g m i:;pɪgmiː
lardner;l A r\ d n 3:r;lɑɹdnɜ:r
staubin;s t aU b i n;st?bin
helprin;h E l p r\ i n;hɛlpɹin
computervision;k @ m p j u 4 3:r v I Z @ n;kəmpjuɾɜ:rvɪʒən
robitussin;r\ A b i t V s i n;ɹɑbitʌsin
doldrum;d @U l d r\ @ m;doʊldɹəm
tindel;t I n d @ l;tɪndəl
worsening(2);w 3:r s n i N;wɜ:rsniŋ
pinky;p I N k i:;pɪŋkiː
overstepping;@U v 3:r s t E p i N;oʊvɜ:rstɛpiŋ
dynamical;d aI n { m i k @ l;d?næmikəl
reanalysed;r\ i: { n @ l aI z d;ɹiːænəl?zd
accidents;{ k s @ d @ n t s;æksədənts
imperialists(3);i m p I r\ i: @ l i s;impɪɹiːəlis
smear;s m I r\;smɪɹ
scrawl;s k r\ O: l;skɹOːl
fertilizer;f 3:r 4 @ l aI z 3:r;fɜ:rɾəl?zɜ:r
indentures;i n d E n tS 3:r z;indɛn?ɜ:rz
mutt;m V t;mʌt
deboy;d i b OI;dib?
holdovers;h @U l d @U v 3:r z;hoʊldoʊvɜ:rz
freak;f r\ i: k;fɹiːk
bradbury;b r\ { d b E r\ i:;bɹædbɛɹiː
stoldt;s t @U l t;stoʊlt
allies;{ l aI z;æl?z
kittles;k I 4 @ l z;kɪɾəlz
beas;b i: z;biːz
powergen;p aU 3:r dZ E n;p?ɜ:r?ɛn
instructions;i n s t r\ V k S @ n z;instɹʌkʃənz
tiles;t aI l z;t?lz
leto;l i: 4 @U;liːɾoʊ
arnn;A r\ n;ɑɹn
deeded(2);d i: 4 i d;diːɾid
scholler;S A l 3:r;ʃɑlɜ:r
magi;m eI dZ aI;m???
dijon(2);d i Z @U n;diʒoʊn
ragin;r\ { dZ i n;ɹæ?in
tailored;t eI l 3:r d;t?lɜ:rd
highlighting;h aI l aI 4 i N;h?l?ɾiŋ
sherva;S 3:r v @;ʃɜ:rvə
captor;k { p t 3:r;kæptɜ:r
entrances;E n t r\ @ n s @ z;ɛntɹənsəz
herpes;h 3:r p i: z;hɜ:rpiːz
homesley;h @U m z l i:;hoʊmzliː
refile;r\ i: f aI l;ɹiːf?l
grovel;g r\ A v @ l;gɹɑvəl
roath;r\ @U T;ɹoʊθ
toussaud's;t u s A d z;tusɑdz
cordell;k O: r\ d E l;kOːɹdɛl
etsu;E t s u;ɛtsu
pettijohn;p E 4 i dZ A n;pɛɾi?ɑn
lunati;l u n A t i:;lunɑtiː
conscientiously;k A n tS i: E n tS @ s l i:;kɑn?iːɛn?əsliː
pilatus;p i: l eI 4 @ s;piːl?ɾəs
telit;t E l I t;tɛlɪt
wholes;h @U l z;hoʊlz
borer;b O: r\ 3:r;bOːɹɜ:r
occupations;A k j @ p eI S @ n z;ɑkjəp?ʃənz
kaestner;k E s t n 3:r;kɛstnɜ:r
reluctantly;r\ i l V k t @ n t l i:;ɹilʌktəntliː
capitano;k A p i: t A n @U;kɑpiːtɑnoʊ
krause;k r\ O: s;kɹOːs
bessie;b E s i:;bɛsiː
hasn't;h { z @ n t;hæzənt
avasso;@ v A s @U;əvɑsoʊ
pinnate(2);p aI n eI t;p?n?t
grandview;g r\ { n d v j u;gɹændvju
benten;b E t i n;bɛtin
ngai;g aI;g?
apocryphal;@ p A k r\ @ f @ l;əpɑkɹəfəl
desirability;d i z aI r\ @ b I l i 4 i:;diz?ɹəbɪliɾiː
contesting;k @ n t E s t i N;kəntɛstiŋ
hallas;h { l @ z;hæləz
patrimonial;p { t r\ @ m @U n j @ l;pætɹəmoʊnjəl
nabobs;n { b A b z;næbɑbz
insensitive(2);i n s E n s i 4 i v;insɛnsiɾiv
digests(5);d @ dZ E s;də?ɛs
whiston;w I s t @ n;wɪstən
l'espalier;l E s p { l i: eI;lɛspæliː?
lathouris;l @ T u r\ i s;ləθuɹis
syers;s aI 3:r z;s?ɜ:rz
boozy;b u z i:;buziː
sweat;s w E t;swɛt
antitax(2);{ n t i: t { k s;æntiːtæks
cognisance;k A g n @ z @ n s;kɑgnəzəns
sunland;s V n l { n d;sʌnlænd
exposito(2);E k s p @ z i: 4 @U;ɛkspəziːɾoʊ
sturdivant;s t 3:r 4 i v @ n t;stɜ:rɾivənt
grata;g r\ A 4 @;gɹɑɾə
tenneco;t E n @ k @U;tɛnəkoʊ
dones;d V n z;dʌnz
pesh;p E S;pɛʃ
shiller;S I l 3:r;ʃɪlɜ:r
dettore;d i t O: r\ i:;ditOːɹiː
bibs;b I b z;bɪbz
bengalis;b E N g A l i: z;bɛŋgɑliːz
dealership's;d i: l 3:r S I p s;diːlɜ:rʃɪps
haft;h { f t;hæft
bartha;b A r\ T @;bɑɹθə
westby;w E s t b i:;wɛstbiː
twirl;t w 3:r l;twɜ:rl
mellick;m E l i k;mɛlik
holdings;h @U l d i N z;hoʊldiŋz
z's;z i: z;ziːz
reisinger;r\ aI s i n dZ 3:r;ɹ?sin?ɜ:r
parenthetically;p 3:r E n T E 4 i k @ l i:;pɜ:rɛnθɛɾikəliː
napkins;n { p k i n z;næpkinz
sides;s aI d z;s?dz
underestimates;V n d 3:r E s t i m i t s;ʌndɜ:rɛstimits
stefano;s t E f @ n @U;stɛfənoʊ
schottenstein;S A t @ n s t i: n;ʃɑtənstiːn
louganis;l u g eI n i s;lug?nis
garlicky;g A r\ l i k i:;gɑɹlikiː
loscalzo;l @U s k A l z @U;loʊskɑlzoʊ
members;m E m b 3:r z;mɛmbɜ:rz
visions;v I Z @ n z;vɪʒənz
specialities;s p E S @ l t i: z;spɛʃəltiːz
accusing;@ k j u z i N;əkjuziŋ
reconfirm;r\ i: k @ n f 3:r m;ɹiːkənfɜ:rm
minded;m aI n d @ d;m?ndəd
duns;d V n z;dʌnz
courage;k 3:r @ dZ;kɜ:rə?
pannill;p { n i l;pænil
fenderson;f E n d 3:r s @ n;fɛndɜ:rsən
schild;S aI l d;ʃ?ld
clenches;k l E n tS @ z;klɛn?əz
cherubs;tS E r\ @ b z;?ɛɹəbz
mabis;m { b i s;mæbis
bunde;b V n d;bʌnd
wall-tex;w O: l t E k s;wOːltɛks
gordji;g O: r\ dZ i:;gOːɹ?iː
elza;E l z @;ɛlzə
practises;p r\ { k t @ s @ z;pɹæktəsəz
lashes;l { S i z;læʃiz
shortages;S O: r\ 4 @ dZ @ z;ʃOːɹɾə?əz
curfew;k 3:r f j u;kɜ:rfju
hydrosulfide;h aI d r\ @U s V l f aI d;h?dɹoʊsʌlf?d
kula;k u l @;kulə
fauver;f aU v 3:r;f?vɜ:r
tennyson;t E n i s @ n;tɛnisən
amiran;{ m i r\ @ n;æmiɹən
butterbaugh;b V 4 3:r b aU;bʌɾɜ:rb?
raju;r\ A j u;ɹɑju
inslaw;I n s l A;ɪnslɑ
lennane(2);l i: n { n;liːnæn
huckabay;h V k @ b eI;hʌkəb?
oberbeck;A b 3:r b E k;ɑbɜ:rbɛk
mainichi;m A i n i: tS i:;mɑiniː?iː
reserves(2);r\ i: z 3:r v z;ɹiːzɜ:rvz
citizens(2);s I 4 i z @ n z;sɪɾizənz
norming;n O: r\ m i N;nOːɹmiŋ
winne;w I n;wɪn
luxembourg(2);l V k s @ m b 3:r g;lʌksəmbɜ:rg
mien;m i: n;miːn
olly;A l i:;ɑliː
national's(2);n { S n @ l z;næʃnəlz
tchaikovsky(3);tS aI k A f s k i:;??kɑfskiː
resell;r\ i: s E l;ɹiːsɛl
tunable;t u n @ b @ l;tunəbəl
pail;p eI l;p?l
jamal's;dZ @ m A l z;?əmɑlz
enunciating;i n V n s i: eI 4 i N;inʌnsiː?ɾiŋ
bennitt;b E n i t;bɛnit
dysinger;d I s i n dZ 3:r;dɪsin?ɜ:r
wintersteen;w I n t 3:r s t i: n;wɪntɜ:rstiːn
aggies;{ g i: z;ægiːz
todman;t A d m @ n;tɑdmən
peko;p i: k @U;piːkoʊ
yoshikazu;j @U S i k A z u;joʊʃikɑzu
rintala;r\ i: n t A l @;ɹiːntɑlə
cavern;k { v 3:r n;kævɜ:rn
huachuca(2);w A tS u k @;wɑ?ukə
rancourt;r\ @ n k O: r\ t;ɹənkOːɹt
stimulates;s t I m j @ l eI t s;stɪmjəl?ts
doctor(2);d O: k t 3:r;dOːktɜ:r
drage;d r\ eI dZ;dɹ??
carrier's(2);k E r\ i: 3:r z;kɛɹiːɜ:rz
benami;b E n @ m i:;bɛnəmiː
proximate;p r\ A k s @ m @ t;pɹɑksəmət
tosi;t @U s i:;toʊsiː
arafat;E r\ @ f { t;ɛɹəfæt
ginocchio;dZ i: n @U k i: @U;?iːnoʊkiːoʊ
fixture;f I k s tS 3:r;fɪks?ɜ:r
gensler(2);g E n s l 3:r;gɛnslɜ:r
kentner;k E n t n 3:r;kɛntnɜ:r
y'all;j O: l;jOːl
alexandra;{ l E g z { n d r\ @;ælɛgzændɹə
holvis's;h @U l v @ s i z;hoʊlvəsiz
rhinestone;r\ aI n s t @U n;ɹ?nstoʊn
retooled;r\ i: t u l d;ɹiːtuld
peptide;p E p t aI d;pɛpt?d
bygone;b aI g O: n;b?gOːn
isomorphism;aI s @ m O: r\ f i z @ m;?səmOːɹfizəm
electroshock;i l E k t r\ @U S A k;ilɛktɹoʊʃɑk
weicht;w aI k t;w?kt
romantically(2);r\ @U m { n t i k l i:;ɹoʊmæntikliː
fetishism;f E 4 i S I z @ m;fɛɾiʃɪzəm
zyuganov(3);z u g A n A v;zugɑnɑv
cirincione;s 3:r i: n tS @U n i:;sɜ:riːn?oʊniː
brom;b r\ A m;bɹɑm
tussaud's;t u s @U z;tusoʊz
corsair;k O: r\ s E r\;kOːɹsɛɹ
ru;r\ u;ɹu
hagerman;h eI g 3:r m @ n;h?gɜ:rmən
yippee;j I p i:;jɪpiː
kenward;k E n w 3:r d;kɛnwɜ:rd
kisling;k I s @ l i N;kɪsəliŋ
distrusts(3);d i s t r\ V s;distɹʌs
lesane;l eI s A n eI;l?sɑn?
vicksburg;v I k s b 3:r g;vɪksbɜ:rg
decamp;d @ k { m p;dəkæmp
vantine;v A n t i: n i:;vɑntiːniː
vestar;v E s t 3:r;vɛstɜ:r
goding;g @U 4 i N;goʊɾiŋ
groveling(2);g r\ O: v l i N;gɹOːvliŋ
impotence;I m p @ t @ n s;ɪmpətəns
farai(3);f A r\ aI;fɑɹ?
enochs;E n @ k s;ɛnəks
ilan;i: l A n;iːlɑn
arden;A r\ d @ n;ɑɹdən
quipp;k w I p;kwɪp
eisenbach;aI z @ n b A k;?zənbɑk
pesce;p E s;pɛs
blecha;b l E tS @;blɛ?ə
samarkand;s { m A r\ k { n d;sæmɑɹkænd
barris;b { r\ i s;bæɹis
seedling;s i: d l i N;siːdliŋ
outland;aU t l { n d;?tlænd
participants';p A r\ t I s @ p @ n t s;pɑɹtɪsəpənts
member;m E m b 3:r;mɛmbɜ:r
friesen;f r\ i: s @ n;fɹiːsən
robar;r\ @ b A r\;ɹəbɑɹ
azidothymidine(3);eI z aI 4 @ T aI m @ d i: n;?z?ɾəθ?mədiːn
grassley;g r\ { s l i:;gɹæsliː
italian;i t { l j @ n;itæljən
rizzuto;r\ i: t s u 4 @U;ɹiːtsuɾoʊ
usaid;j u E s eI d;juɛs?d
sammie;s { m i:;sæmiː
faded;f eI 4 @ d;f?ɾəd
olack;@U l { k;oʊlæk
kaleta;k { l i 4 @;kæliɾə
rockafellow;r\ A k @ f E l @U;ɹɑkəfɛloʊ
chriss;k r\ I s;kɹɪs
crisler(2);k r\ I s l 3:r;kɹɪslɜ:r
hulin;h j u l i n;hjulin
meier;m aI 3:r;m?ɜ:r
kvasnicka;k @ v @ s n I s k @;kəvəsnɪskə
maertens;m E r\ t @ n z;mɛɹtənz
preconceptions;p r\ i: k @ n s E p S @ n z;pɹiːkənsɛpʃənz
anisette;{ n @ s E t;ænəsɛt
antarctica(2);{ n A r\ 4 i k @;ænɑɹɾikə
skimmers;s k I m 3:r z;skɪmɜ:rz
reback;r\ i: b { k;ɹiːbæk
dei;d eI;d?
pernod;p E r\ n @U;pɛɹnoʊ
vernis;v 3:r n i s;vɜ:rnis
rockrose;r\ A k r\ @U z;ɹɑkɹoʊz
forshan;f O: r\ S @ n;fOːɹʃən
orchids;O: r\ k @ d z;Oːɹkədz
inability;I n @ b I l i 4 i:;ɪnəbɪliɾiː
lenos;l i: n @U z;liːnoʊz
nasturtiums;n { s t 3:r S @ m z;næstɜ:rʃəmz
simplex;s I m p l E k s;sɪmplɛks
sectioning;s E k S @ n i N;sɛkʃəniŋ
pettinger;p E 4 i N 3:r;pɛɾiŋɜ:r
elvie;E l v i:;ɛlviː
mossey;m A s i:;mɑsiː
dolgin;d @U l dZ i n;doʊl?in
jovan;dZ @U v @ n;?oʊvən
passivity;p @ s I v i 4 i:;pəsɪviɾiː
shrublike;S r\ V b l aI k;ʃɹʌbl?k
lozano's;l @U z A n @U z;loʊzɑnoʊz
hentges;h E n t dZ i z;hɛnt?iz
relating(2);r\ i: l eI 4 i N;ɹiːl?ɾiŋ
valujet's;v { l j u dZ E t s;vælju?ɛts
kuch;k V tS;kʌ?
primus;p r\ aI m @ s;pɹ?məs
junkiest;dZ V N k i: @ s t;?ʌŋkiːəst
tastefully;t eI s t f @ l i:;t?stfəliː
tradesmen;t r\ eI d z m @ n;tɹ?dzmən
sylvester;s i l v E s t 3:r;silvɛstɜ:r
craton;k r\ { t @ n;kɹætən
averitt;{ v 3:r i t;ævɜ:rit
lissa;l I s @;lɪsə
rhythm;r\ I D @ m;ɹɪðəm
kayaking;k aI { k i N;k?ækiŋ
greedily;g r\ i: 4 @ l i:;gɹiːɾəliː
goghs;g @U z;goʊz
pessin;p E s i n;pɛsin
marberry;m A r\ b E r\ i:;mɑɹbɛɹiː
kurz;k 3:r z;kɜ:rz
imperceptibly;I m p 3:r s E p t i b l i:;ɪmpɜ:rsɛptibliː
benda;b E n d @;bɛndə
snowmobiles;s n @U m @U b i: l z;snoʊmoʊbiːlz
philley;f I l i:;fɪliː
nature;n eI tS 3:r;n??ɜ:r
gulf;g V l f;gʌlf
v.'s;v i: z;viːz
tokar;t @U k A r\;toʊkɑɹ
super-imposition;s u p 3:r i m p @ z I S @ n;supɜ:rimpəzɪʃən
yamagata;j A m A g A 4 @;jɑmɑgɑɾə
selwin;s E l w i n;sɛlwin
pipelining;p aI p l aI n i N;p?pl?niŋ
luxottica;l V k s @U t i: k @;lʌksoʊtiːkə
vercammen;v 3:r k { m @ n;vɜ:rkæmən
bowyer;b @U j 3:r;boʊjɜ:r
alida;A l i: 4 @;ɑliːɾə
rheaume;r\ u m;ɹum
soured;s aU 3:r d;s?ɜ:rd
kobrin;k A b r\ i n;kɑbɹin
castparts;k { s t p A r\ t s;kæstpɑɹts
gentlewoman(2);dZ E n @ l w U m @ n;?ɛnəlwʊmən
torn;t O: r\ n;tOːɹn
siskel;s I s k @ l;sɪskəl
husmann;h V s m @ n;hʌsmən
frager;f r\ eI g 3:r;fɹ?gɜ:r
pulley;p U l i:;pʊliː
booklets;b U k l @ t s;bʊkləts
feather;f E D 3:r;fɛðɜ:r
vannice;v { n i s;vænis
bobo;b @U b @U;boʊboʊ
crafton;k r\ { f t @ n;kɹæftən
pertain;p 3:r t eI n;pɜ:rt?n
ulster;V l s t 3:r;ʌlstɜ:r
reposed;r\ i: p @U z d;ɹiːpoʊzd
morphin;m O: r\ f @ n;mOːɹfən
retinoid;r\ E t i n OI d;ɹɛtin?d
rowney;r\ @U n i:;ɹoʊniː
raychem;r\ eI k E m;ɹ?kɛm
cuso's;k j u s @U z;kjusoʊz
ellwood's;E l w U d z;ɛlwʊdz
bradtmiller;b r\ { t m I l 3:r;bɹætmɪlɜ:r
represented(4);r\ E p r\ i z E n i d;ɹɛpɹizɛnid
recharge;r\ i: tS A r\ dZ;ɹiː?ɑɹ?
shoff;S O: f;ʃOːf
dunlavey;d @ n l @ v eI;dənləv?
parker;p A r\ k 3:r;pɑɹkɜ:r
debugging;d i b V g i N;dibʌgiŋ
mothers-in-law;m V D 3:r z i n l O:;mʌðɜ:rzinlOː
individuals;I n d i v I dZ @ w @ l z;ɪndivɪ?əwəlz
self-portrait;s E l f p O: r\ t r\ @ t;sɛlfpOːɹtɹət
novick(2);n A v i k;nɑvik
retrovir;r\ E t r\ @U v I r\;ɹɛtɹoʊvɪɹ
additive;{ 4 @ 4 i v;æɾəɾiv
prices(2);p r\ aI s i z;pɹ?siz
sleep;s l i: p;sliːp
suchocki;s @ k A k i:;səkɑkiː
clarabelle;k l { r\ @ b @ l;klæɹəbəl
transcontinental(3);t r\ { n z k A n t i n E n @ l;tɹænzkɑntinɛnəl
videophone;v I 4 i: @U f @U n;vɪɾiːoʊfoʊn
chewy;tS u i:;?uiː
iskra;I s k r\ @;ɪskɹə
jelly;dZ E l i:;?ɛliː
franchi;f r\ A n k i:;fɹɑnkiː
married;m E r\ i: d;mɛɹiːd
outpaced;aU t p eI s t;?tp?st
lohrmann;l O: r\ m @ n;lOːɹmən
swallowing;s w A l @U i N;swɑloʊiŋ
whaley;w eI l i:;w?liː
murin;m j U r\ i n;mjʊɹin
classified;k l { s @ f aI d;klæsəf?d
denicola;d i n i: k @U l @;diniːkoʊlə
finkbiner;f I N k b aI n 3:r;fɪŋkb?nɜ:r
seaco;s i: k @U;siːkoʊ
duro;d U r\ @U;dʊɹoʊ
devita;d i v i: 4 @;diviːɾə
jerkins;dZ 3:r k i n z;?ɜ:rkinz
cordray;k O: r\ d r\ eI;kOːɹdɹ?
bind;b aI n d;b?nd
bristol;b r\ I s t @ l;bɹɪstəl
diamonds;d aI m @ n d z;d?məndz
bishoprics;b I S @ p r\ i k s;bɪʃəpɹiks
goffman;g A f m @ n;gɑfmən
burglarized;b 3:r g l 3:r aI z d;bɜ:rglɜ:r?zd
cephalosporin;s E f @ l O: s p 3:r i n;sɛfəlOːspɜ:rin
tabitha;t { b i T @;tæbiθə
jingoistic;dZ i N g @U I s t i k;?iŋgoʊɪstik
sitrick;s I t r\ i k;sɪtɹik
hemingway;h E m i N w eI;hɛmiŋw?
chico's;tS i: k @U z;?iːkoʊz
slutz;s l V t s;slʌts
murasky;m 3:r { s k i:;mɜ:ræskiː
flaccid;f l { k s i d;flæksid
tygart;t aI g A r\ t;t?gɑɹt
biscuits;b I s k @ t s;bɪskəts
mehrabian;m E r\ eI b i: @ n;mɛɹ?biːən
discography;d i s k O: g r\ @ f i:;diskOːgɹəfiː
ostermiller;A s t 3:r m i l 3:r;ɑstɜ:rmilɜ:r
south's;s aU T s;s?θs
swartzbaugh;s w O: r\ t s b A;swOːɹtsbɑ
fanned;f { n d;fænd
seaway;s i: w eI;siːw?
fortino;f O: r\ t i: n @U;fOːɹtiːnoʊ
krisch;k r\ I S;kɹɪʃ
